company_code,ticker_symbol,company_name,market,shariah_board,sector,subsector,classification,timestamp
2381,2381,شركة الحفر العربية,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.897279
2083,2083,شركة مرافق الكهرباء والمياه بالجبيل وينبع,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.897296
2082,2082,شركة أكوا باور,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.897312
2382,2382,شركة أديس القابضة,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.897329
2084,2084,شركة مياهنا,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.897345
2080,2080,شركة الغاز والتصنيع الأهلية,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.897361
5110,5110,الشركة السعودية للكهرباء,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.897378
2222,2222,شركة الزيت العربية السعودية,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.897394
2081,2081,شركة الخريف لتقنية المياه والطاقة,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.897411
4142,4142,شركة مجموعة كابلات الرياض,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.897427
2281,2281,شركة التنمية الغذائية,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.897443
6016,6016,شركة مطاعم بيت الشطيرة للوجبات السريعة,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.897459
2284,2284,شركة المطاحن الحديثة للمنتجات الغذائية,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.897476
2283,2283,شركة المطاحن الأولى,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.897492
2282,2282,شركة نقي للمياه,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.897509
2287,2287,الشركة العربية للاستثمار الزراعي والصناعي,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.897525
2285,2285,شركة المطاحن العربية للمنتجات الغذائية,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.897542
2286,2286,شركة المطاحن الرابعة,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.897559
6013,6013,شركة الأعمال التطويرية الغذائية,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.897575
2050,2050,مجموعة صافولا,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.897592
2100,2100,شركة وفرة للصناعة والتنمية,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.897608
2270,2270,الشركة السعودية لمنتجات الألبان والأغذية,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.897624
2280,2280,شركة المراعي,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.897641
4061,4061,مجموعة أنعام الدولية القابضة,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.897662
6001,6001,شركة حلواني إخوان,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.897679
6002,6002,شركة هرفي للخدمات الغذائية,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.897695
