company_code,ticker_symbol,company_name,market,shariah_board,sector,subsector,classification,timestamp
9618,9618,شركة الفاخرة للخياطة الرجالية,نمو,الراجحي المالية,,,شرعي,2025-08-23T07:35:37.274393
9628,9628,شركة لمسات,نمو,الراجحي المالية,,,شرعي,2025-08-23T07:35:37.274408
9633,9633,شركة آلات الصيانة,نمو,الراجحي المالية,,,شرعي,2025-08-23T07:35:37.274422
9635,9635,شركة دخون الوطنية للتجارة,نمو,الراجحي المالية,,,شرعي,2025-08-23T07:35:37.274436
9630,9630,شركة النسبة المختصة للتجارة,نمو,الراجحي المالية,,,شرعي,2025-08-23T07:35:37.274450
9622,9622,شركة شموع الماضي,نمو,الراجحي المالية,,,شرعي,2025-08-23T07:35:37.274465
9612,9612,شركة مصنع مياه سما الصحية,نمو,الراجحي المالية,,,شرعي,2025-08-23T07:35:37.274479
9617,9617,شركة ستار العربية,نمو,الراجحي المالية,,,شرعي,2025-08-23T07:35:37.274494
9636,9636,شركة الخزامى التجارية,نمو,الراجحي المالية,,,شرعي,2025-08-23T07:35:37.274508
9564,9564,شركة آفاق الغذاء,نمو,الراجحي المالية,,,شرعي,2025-08-23T07:35:37.274522
9562,9562,شركة بوابة الأطعمة التجارية,نمو,الراجحي المالية,,,شرعي,2025-08-23T07:35:37.274536
9567,9567,شركة غذاء السلطان للوجبات السريعة,نمو,الراجحي المالية,,,شرعي,2025-08-23T07:35:37.274550
9536,9536,شركة المصانع العربية للمأكولات والألبان,نمو,الراجحي المالية,,,شرعي,2025-08-23T07:35:37.274565
9532,9532,شركة مصنع مياه الجوف الصحية,نمو,الراجحي المالية,,,شرعي,2025-08-23T07:35:37.274580
9515,9515,شركة مصنع فش فاش للمواد الغذائية,نمو,الراجحي المالية,,,شرعي,2025-08-23T07:35:37.274595
9522,9522,شركة الحاسوب للتجارة,نمو,الراجحي المالية,,,شرعي,2025-08-23T07:35:37.274609
9524,9524,شركة تقدم العالمية للاتصالات وتقنية المعلومات,نمو,الراجحي المالية,,,شرعي,2025-08-23T07:35:37.274623
9538,9538,شركة نسيج للتقنية,نمو,الراجحي المالية,,,شرعي,2025-08-23T07:35:37.274638
9547,9547,شركة رواسي البناء للاستثمار,نمو,الراجحي المالية,,,شرعي,2025-08-23T07:35:37.274651
9550,9550,شركة شور العالمية للتقنية,نمو,الراجحي المالية,,,شرعي,2025-08-23T07:35:37.274665
9557,9557,شركة إدارات للاتصالات وتقنية المعلومات,نمو,الراجحي المالية,,,شرعي,2025-08-23T07:35:37.274679
9543,9543,شركة نت وركرس السعودية للخدمات,نمو,الراجحي المالية,,,شرعي,2025-08-23T07:35:37.274693
9545,9545,الشركة الدولية للموارد البشرية,نمو,الراجحي المالية,,,شرعي,2025-08-23T07:35:37.274707
9558,9558,شركة تقنيات القمم للحاسبات والنظم التجارية,نمو,الراجحي المالية,,,شرعي,2025-08-23T07:35:37.274721
9561,9561,شركة شبكة المعرفة للحاسب الالي,نمو,الراجحي المالية,,,شرعي,2025-08-23T07:35:37.274735
9595,9595,شركة وسم الأعمال لتقنية المعلومات,نمو,الراجحي المالية,,,شرعي,2025-08-23T07:35:37.274748
9637,9637,شركة الحلول المتسارعة للاتصالات و تقنية المعلومات,نمو,الراجحي المالية,,,شرعي,2025-08-23T07:35:37.274762
9639,9639,شركة أنماط التقنية للتجارة,نمو,الراجحي المالية,,,شرعي,2025-08-23T07:35:37.274776
9614,9614,شركة نقاوة لتقنية المعلومات,نمو,الراجحي المالية,,,شرعي,2025-08-23T07:35:37.274790
9616,9616,شركة جنى الطبية,نمو,الراجحي المالية,,,شرعي,2025-08-23T07:35:37.274803
9620,9620,شركة بلسم الأفق الطبية,نمو,الراجحي المالية,,,شرعي,2025-08-23T07:35:37.274817
9627,9627,شركة طوارئيات للعناية الطبية,نمو,الراجحي المالية,,,شرعي,2025-08-23T07:35:37.274831
9626,9626,شركة بسمة اديم الطبية,نمو,الراجحي المالية,,,شرعي,2025-08-23T07:35:37.274845
9600,9600,شركة كومل,نمو,الراجحي المالية,,,شرعي,2025-08-23T07:35:37.274858
